Length,Popularity
235,10
219,11
221,10
219,10
220,9
170,17
236,15
223,11
240,10
222,9
248,32
213,26
239,25
241,25
197,24
243,23
271,22
258,23
189,22
66,21
197,1
236,14
259,0
206,0
247,5
229,0
214,0
271,0
192,0
225,0
257,0
252,5
288,0
217,1
168,16
123,16
129,17
133,14
330,15
246,16
198,13
207,14
143,30
194,13
415,1
281,0
337,1
274,1
212,0
476,0
304,0
340,0
332,0
250,0
320,0
321,0
406,0
250,2
194,4
211,2
209,2
234,1
199,2
211,1
307,2
338,6
181,1
195,3
295,2
48,1
300,5
269,4
183,5
290,5
292,4
308,4
269,3
221,4
333,3
273,3
185,3
220,3
224,1
238,0
240,0
232,0
240,0
223,0
218,0
218,0
235,0
220,0
217,0
230,0
226,0
225,0
230,1
252,11
256,11
274,10
214,8
192,8
211,8
227,10
198,7
205,7
322,8
373,7
229,6
240,6
238,6
281,6
239,6
223,6
228,6
234,6
356,16
247,9
187,13
248,17
243,15
255,6
257,13
284,5
174,9
260,7
291,5
207,14
308,8
187,6
225,12
202,5
257,6
221,4
234,5
170,3
154,7
174,4
149,3
203,3
178,10
180,3
171,4
152,9
213,7
240,7
275,23
207,7
208,6
219,6
178,5
194,5
256,8
155,23
163,16
132,16
156,15
157,22
185,15
156,15
141,16
137,14
178,14
131,13
145,14
153,13
170,13
160,24
180,30
158,29
178,23
154,23
187,18
155,17
287,21
190,20
190,18
264,4
195,2
248,2
241,3
254,3
208,6
201,2
289,3
233,2
209,4
236,1
318,2
280,3
249,1
112,1
266,1
311,1
194,1
347,1
193,1
249,1
177,0
262,1
162,0
244,0
142,0
215,0
241,0
164,30
187,19
155,25
178,20
184,21
211,18
199,17
178,16
215,16
240,15
138,15
218,14
165,14
158,14
152,9
112,6
222,5
162,6
167,6
159,5
180,5
180,4
158,6
172,5
273,25
243,46
319,25
403,22
264,24
301,23
323,23
319,23
74,21
243,36
394,24
249,24
314,22
239,24
151,20
222,7
214,8
243,5
240,3
184,4
204,4
218,2
183,2
134,1
222,4
184,1
140,1
181,5
162,4
234,5
216,4
203,4
184,3
171,4
213,3
251,3
187,3
217,3
201,2
193,2
135,3
155,2
173,2
130,2
153,2
151,2
155,2
188,3
219,2
236,2
159,2
187,2
208,1
174,5
234,5
166,7
196,5
221,5
162,5
181,5
213,4
234,4
254,4
161,4
184,4
181,4
162,3
178,4
284,4
373,4
477,4
196,14
187,10
202,9
204,8
234,9
217,9
209,9
262,8
507,13
216,9
232,7
244,8
188,8
192,9
238,9
227,35
372,32
453,35
252,34
243,30
373,33
342,41
285,35
288,27
255,28
420,27
245,13
209,14
185,9
189,9
161,15
230,12
161,10
168,8
151,7
147,8
191,10
187,9
185,7
151,7
213,6
253,10
219,0
237,0
209,0
216,0
219,0
214,0
211,0
211,0
217,0
203,0
247,0
299,0
229,0
208,0
247,0
201,0
209,0
261,0
229,0
211,0
294,3
226,2
222,2
167,1
264,1
169,1
165,1
444,2
691,1
240,1
268,1
182,1
191,1
18,0
388,20
268,19
504,12
471,14
389,15
353,10
426,13
508,9
472,12
795,10
190,5
141,2
210,2
231,2
227,2
232,1
177,1
176,1
172,1
196,1
206,1
209,1
248,12
216,6
240,7
242,8
263,4
226,4
253,9
279,4
223,4
277,5
214,4
249,4
260,4
251,3
159,2
193,1
197,3
219,3
210,2
202,1
220,1
191,2
215,3
220,10
224,3
161,2
169,2
243,3
218,2
228,1
213,7
187,4
259,7
256,2
288,4
288,2
270,3
276,3
253,3
257,2
240,1
238,1
260,2
279,29
295,18
242,23
234,20
273,26
280,20
216,17
268,15
313,21
245,17
445,8
469,7
231,8
221,11
294,6
213,11
266,6
208,11
228,5
157,5
303,6
209,9
325,4
278,9
449,7
314,8
187,9
413,5
275,6
311,1
274,1
318,10
277,4
191,1
219,2
240,0
296,1
306,8
239,6
262,8
254,7
244,6
276,6
288,11
223,5
265,6
219,5
219,7
320,6
212,0
259,0
213,0
222,0
168,0
294,0
180,0
204,0
209,0
216,0
193,19
248,16
220,19
216,22
226,18
191,16
220,13
235,14
195,12
242,14
221,11
280,12
257,15
235,10
217,10
334,10
242,11
226,12
225,9
213,9
216,8
282,9
240,10
235,8
248,6
212,7
253,8
229,6
212,8
235,6
225,5
212,3
191,5
226,4
220,4
252,4
262,4
279,3
226,2
267,2
268,1
279,1
236,2
249,0
212,0
237,0
241,0
226,0
232,0
196,0
228,0
247,30
288,29
268,23
212,23
196,16
238,18
148,27
251,15
300,14
236,12
230,15
202,15
217,12
215,12
225,13
236,12
255,24
190,23
245,25
212,21
217,23
236,24
271,21
278,23
242,21
261,23
272,20
229,23
302,53
203,50
195,48
218,49
211,50
179,49
245,54
278,48
192,47
192,44
165,2
192,2
310,3
215,2
194,1
225,1
247,1
197,2
324,1
147,6
235,1
160,4
220,3
183,1
167,3
138,29
587,8
318,2
255,1
256,3
255,1
252,1
165,2
216,1
179,1
182,2
162,1
217,30
253,0
213,30
248,23
261,27
230,21
249,32
241,20
250,21
270,20
271,47
226,21
255,21
184,19
267,20
191,19
223,19
236,20
210,20
215,1
260,1
251,1
186,1
268,1
282,1
209,1
310,1
215,1
239,1
206,17
240,6
242,1
239,1
238,0
244,1
280,1
315,0
178,1
171,2
209,1
209,1
233,1
251,0
242,0
194,0
204,1
251,1
258,0
228,0
235,0
214,1
245,0
257,0
298,0
252,0
254,0
198,0
296,1
232,0
227,0
295,1
324,0
246,0
257,0
250,0
230,0
251,0
213,0
240,0
271,30
226,20
240,22
271,27
253,17
209,26
215,18
184,17
165,27
145,16
197,23
196,15
173,25
149,15
187,16
243,6
176,14
162,15
143,9
179,9
153,11
148,6
206,36
160,9
179,16
196,8
224,32
205,10
167,3
167,3
207,3
202,3
203,3
244,2
305,2
167,2
220,2
145,2
212,9
250,7
207,6
208,4
152,9
257,8
173,8
230,7
211,10
194,5
321,12
786,8
418,5
267,5
243,5
258,8
242,4
479,5
327,10
187,4
335,8
199,14
170,7
301,14
229,15
159,8
227,7
146,6
176,7
273,14
301,13
143,5
175,5
194,9
135,9
148,8
176,18
196,12
167,8
165,11
185,9
205,12
155,10
200,12
167,6
298,6
326,5
300,5
279,5
257,0
219,21
252,20
192,15
208,17
276,22
201,16
200,16
190,15
235,8
163,6
251,7
225,4
289,5
218,6
143,3
235,3
230,3
268,2
234,5
231,3
271,1
260,2
236,3
180,19
175,14
156,16
118,16
166,18
171,19
150,13
162,12
197,12
206,12
166,14
159,12
339,7
440,5
388,15
320,7
364,4
391,4
207,26
201,3
161,12
256,2
442,3
506,3
406,1
192,1
370,0
387,1
120,0
218,31
178,22
219,25
209,26
284,27
205,22
182,21
210,26
260,22
219,25
190,23
237,19
218,44
185,20
166,16
166,6
183,7
175,14
152,6
147,5
208,5
134,5
182,5
157,4
147,5
175,6
163,5
165,6
183,5
197,5
156,5
358,4
223,6
161,10
167,5
165,4
196,6
147,4
165,3
184,3
166,4
149,3
212,3
174,3
180,3
254,2
228,2
210,4
216,4
228,1
217,2
215,2
181,1
184,1
233,1
221,1
234,1
166,13
207,12
200,14
140,12
151,21
211,8
216,7
160,11
132,7
131,8
186,4
188,5
190,3
184,4
182,3
182,4
207,3
206,3
215,3
216,2
210,2
220,2
158,2
168,3
215,2
219,2
188,2
276,13
286,11
254,15
251,11
238,11
325,12
277,11
307,12
372,10
241,10
296,9
351,8
223,8
42,6
342,9
163,13
172,9
124,9
175,8
188,8
211,8
209,8
126,7
151,7
131,8
128,7
167,6
270,7
235,6
125,6
176,5
192,6
206,6
155,6
205,6
241,6
232,6
136,5
252,5
218,5
149,7
137,5
228,4
136,4
199,4
148,4
160,4
214,4
189,4
210,4
176,4
229,4
237,4
184,5
156,23
155,17
237,17
206,16
190,16
158,12
193,12
227,12
163,11
187,22
200,3
215,2
239,4
202,2
187,2
177,2
197,2
237,2
191,1
220,2
235,18
230,20
148,17
238,17
219,16
273,17
230,18
232,15
302,14
238,14
225,14
257,14
201,13
272,13
223,12
238,12
213,11
224,12
214,12
3490,13
210,27
218,15
265,19
178,14
226,25
265,16
195,23
203,12
249,12
248,25
144,6
141,2
164,6
230,3
133,1
157,2
187,1
169,1
173,1
160,1
171,1
146,3
181,1
193,1
275,32
257,37
182,28
295,34
223,23
320,29
306,23
229,35
348,20
194,28
345,38
244,34
30,27
254,37
254,32
252,32
252,31
230,39
260,32
32,30
330,29
246,27
234,28
241,28
238,28
255,27
266,25
288,25
137,0
156,0
133,0
129,0
133,0
140,0
124,0
152,0
185,0
174,0
158,0
168,0
168,0
162,0
151,0
144,0
135,0
160,0
269,7
265,13
205,6
250,8
302,16
259,11
220,7
313,5
323,7
194,6
277,48
251,42
274,40
288,43
271,44
279,35
272,33
288,33
231,11
204,7
246,5
194,5
258,5
226,8
205,8
151,4
192,5
225,4
206,8
211,19
248,18
272,17
228,16
184,21
234,15
315,15
215,16
237,14
155,15
218,14
237,23
221,13
221,17
179,16
215,21
302,15
198,14
257,12
182,14
260,24
293,20
253,18
257,15
227,14
244,23
233,13
266,13
249,12
231,12
253,12
253,15
226,12
237,12
